Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,First octet,Second octet,Third octet,Fourth octet,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
hoteldalia.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,30,46,229,230,45,1,1,1,1,0,1,29405,200,Apache,3.39,0.38,0.54,0.0,0.0,2,2,0,0,False,12,False,False,Slovakia,0
hotelnarodnydom.sk,"ActivIT,s.r.o.",4.0,3.0,Sectigo Limited,141,86,110,243,40,1,0,0,1,0,0,29405,200,Apache,3.68,0.33,0.61,0.0,0.0,1,2,0,0,False,17,False,False,Slovakia,0
gigastore.sk,Tool Domains Ltd.,3.0,3.0,Let's Encrypt,28,103,224,182,253,1,1,1,1,1,1,133618,410,Caddy,3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,11,True,False,United States,1
topreality.sk,Ringier Slovakia Media s.r.o.,4.0,2.0,Let's Encrypt,38,91,235,52,70,1,1,1,1,0,1,57788,200,None,3.55,0.38,0.54,0.0,0.0,2,2,0,0,False,12,False,False,Slovakia,0
gymsharkleginy-sk.sk,Gransy s.r.o.,4.0,1.0,Let's Encrypt,65,165,231,153,40,1,0,0,0,0,0,58065,200,Apache,3.65,0.25,0.65,0.0,0.05,1,3,0,1,False,19,False,True,United States,1
hunterslovenskosk.sk,Gransy s.r.o.,4.0,1.0,Let's Encrypt,81,196,240,121,144,1,0,0,0,0,0,41564,200,Apache,3.38,0.25,0.7,0.0,0.0,1,3,0,0,False,19,True,True,Germany,1
salomonslovakia.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,68,196,245,56,150,1,0,0,0,0,0,58065,200,Apache,3.16,0.39,0.56,0.0,0.0,2,3,0,0,False,17,True,False,Spain,1
trapstarsk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,37,196,242,179,240,1,0,0,0,0,0,58065,200,Apache,2.72,0.15,0.77,0.0,0.0,1,3,0,0,False,12,False,True,South Africa,1
sorelobuv.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,35,104,160,23,183,1,0,0,0,0,0,46805,200,Apache,3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,11,True,False,United States,1
zvolen.sk,"WEBY GROUP, s.r.o.",4.0,2.0,Let's Encrypt,73,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
fredperrybratislava.sk,NETIM,4.0,3.0,ZeroSSL,58,196,196,200,10,1,0,0,0,0,0,41564,403,nginx,3.7,0.32,0.64,0.0,0.0,1,2,0,0,False,21,True,False,Finland,1
geoxsk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,30,158,222,2,52,1,0,0,0,0,0,63119,200,Apache,2.73,0.22,0.67,0.0,0.0,2,3,0,0,False,8,False,True,United States,1
sachticka.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,64,195,181,248,14,1,1,1,1,1,1,48689,200,nginx,2.92,0.25,0.67,0.0,0.0,1,3,0,0,False,11,False,False,Slovakia,0
128745.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,83,172,67,158,138,2,0,0,0,0,0,13335,0,None,3.17,0.0,0.22,0.67,0.0,0,2,6,0,False,8,False,False,Canada,1
smartwoodsk.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,35,77,78,104,3,1,1,1,1,0,1,15685,200,Apache/2.4.61 (Debian),3.18,0.21,0.71,0.0,0.0,2,3,0,0,False,13,False,True,Czechia,1
tiffanybratislava.sk,NETIM,4.0,3.0,ZeroSSL,56,196,244,195,27,1,0,0,0,0,0,41564,403,Apache/2,3.52,0.35,0.6,0.0,0.0,1,2,0,0,False,19,True,False,Singapore,1
dm-dual.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,69,31,31,74,215,1,0,0,0,0,0,197019,200,Apache/2.4.29 (Ubuntu),3.12,0.2,0.6,0.0,0.1,2,2,0,1,False,9,False,False,Czechia,0
mlyny-nitra.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,68,57,153,167,86,1,1,1,1,0,1,8075,200,nginx,3.52,0.29,0.57,0.0,0.07,1,2,0,1,False,13,False,False,Netherlands,0
fredperryslovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,77,158,222,2,15,1,0,0,0,0,0,63119,200,Apache,3.52,0.29,0.67,0.0,0.0,1,3,0,0,False,20,True,False,United States,1
evamaria.sk,"INTERNET CZ, a.s.",4.0,3.0,Actalis S.p.A.,312,185,129,138,221,1,1,1,1,0,1,24806,200,aruba-proxy,3.03,0.45,0.45,0.0,0.0,2,2,0,0,False,10,False,False,Czechia,0
stoneflybratislava.sk,NETIM,4.0,3.0,Let's Encrypt,80,196,240,10,48,1,0,0,0,0,0,58065,403,nginx,3.75,0.33,0.62,0.0,0.0,1,2,0,0,False,20,True,False,United States,1
hollisterco.sk,MarkMonitor International Limited,3.0,3.0,None,0,99,83,176,46,1,1,1,0,0,1,16509,200,,3.38,0.29,0.64,0.0,0.0,1,2,0,0,False,13,False,False,United States,1
opalisko.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,57,86,110,243,222,1,1,1,1,0,1,29405,200,Apache,2.91,0.36,0.55,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
hotel-eminent.sk,"WebHouse, s.r.o.",4.0,2.0,None,0,52,213,120,66,1,1,1,1,0,1,16509,200,Apache/2.4.62 (Amazon Linux),3.45,0.31,0.56,0.0,0.06,1,2,0,1,False,15,False,False,Ireland,0
snina.sk,"INTERNET CZ, a.s.",4.0,3.0,Let's Encrypt,58,88,86,102,6,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Czechia,0
onrunningeshop.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,62,158,222,2,45,1,0,0,0,0,0,63119,200,Apache,3.38,0.29,0.65,0.0,0.0,1,2,0,0,False,16,True,False,United States,1
basetool.sk,NETIM,4.0,3.0,None,53,103,224,182,210,1,1,1,1,1,1,133618,403,None,3.1,0.36,0.55,0.0,0.0,2,2,0,0,False,10,False,False,United States,1
topolcany.sk,"WEBY GROUP, s.r.o.",4.0,1.0,Let's Encrypt,69,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,11,False,False,Slovakia,0
cpbratislava.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,57,37,9,175,155,1,1,1,1,0,0,51013,200,openresty,3.46,0.27,0.67,0.0,0.0,1,4,0,0,False,14,True,False,Slovakia,0
skecherstenisky.sk,"WebHouse, s.r.o.",2.0,1.0,Google Trust Services,72,172,67,206,41,2,0,0,0,0,0,13335,403,cloudflare,3.2,0.28,0.67,0.0,0.0,1,3,0,0,False,17,True,False,Canada,1
hotelvictoria.sk,DATACOM.EU s.r.o.,4.0,2.0,Let's Encrypt,73,46,229,230,47,1,1,1,1,0,1,29405,200,Apache,3.62,0.38,0.56,0.0,0.0,2,2,0,0,False,15,False,False,Slovakia,0
gregory-slovensko.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,60,104,21,80,1,7,0,0,0,0,0,13335,500,cloudflare,3.45,0.3,0.6,0.0,0.05,1,3,0,1,False,19,True,False,Canada,1
uniqlosk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,85,196,245,153,246,1,0,0,0,0,0,41564,200,Apache,3.1,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,True,Slovakia,1
reservedsk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,50,165,231,64,62,1,0,0,0,0,0,48950,200,Apache,2.66,0.23,0.69,0.0,0.0,1,3,0,0,False,12,False,True,Germany,1
calzedonia.sk,Key-Systems GmbH,4.0,3.0,None,0,5,22,145,121,2,1,1,1,0,1,16509,200,cloudflare,3.55,0.38,0.54,0.0,0.0,2,2,0,0,False,12,False,False,Germany,1
sabinov.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,87,37,9,175,180,1,1,1,1,0,1,51013,200,openresty,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
hotel-west.sk,"ELBIA, s. r. o.",4.0,3.0,Let's Encrypt,54,46,229,237,100,1,1,1,1,0,1,29405,200,RANDOM,3.24,0.23,0.62,0.0,0.08,1,2,0,1,False,12,False,False,Slovakia,0
skitatry.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,59,37,9,175,187,1,1,1,1,0,0,51013,200,openresty,2.91,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
eventspace.sk,"ACTIVE 24, s.r.o.",4.0,3.0,None,0,31,15,10,191,1,0,0,1,0,0,25234,200,nginx,3.18,0.31,0.62,0.0,0.0,1,4,0,0,False,12,False,False,Czechia,1
michaelkors-kabelka.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,49,172,67,219,201,2,0,0,0,0,0,13335,200,cloudflare,3.61,0.32,0.59,0.0,0.05,2,2,0,1,False,21,True,False,Canada,1
oakleybratislava.sk,NETIM,4.0,3.0,ZeroSSL,90,196,244,195,7,1,0,0,0,0,0,41564,403,Apache/2,3.51,0.42,0.53,0.0,0.0,2,2,0,0,False,18,True,False,Singapore,1
zarnovica.sk,"WEBY GROUP, s.r.o.",4.0,2.0,Let's Encrypt,43,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,11,False,False,Slovakia,0
ncmax.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,40,37,9,175,156,1,1,1,1,0,0,51013,200,openresty,3.0,0.12,0.75,0.0,0.0,1,3,0,0,False,7,False,False,Slovakia,0
raybanbratislava.sk,NETIM,4.0,3.0,Google Trust Services,67,104,21,96,1,7,0,0,0,0,0,13335,403,cloudflare,3.32,0.37,0.58,0.0,0.0,2,3,0,0,False,18,True,False,Canada,1
ziarce.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,81,86,110,243,226,1,1,1,1,0,1,29405,200,Apache,3.17,0.33,0.56,0.0,0.0,2,2,0,0,False,8,False,False,Slovakia,0
columbiaslovakia.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,37,196,196,6,155,1,0,0,0,0,0,57858,200,Apache,3.47,0.42,0.53,0.0,0.0,2,2,0,0,False,18,True,False,Sweden,1
23win.ski,None,None,None,Google Trust Services,82,104,21,30,125,2,0,0,0,0,0,13335,521,cloudflare,2.95,0.22,0.44,0.22,0.0,1,2,2,0,False,8,False,False,Canada,1
eleganceshop.sk,"WebCreators, s. r. o.",4.0,2.0,Let's Encrypt,80,193,163,77,28,1,1,1,1,1,1,29405,200,nginx,3.46,0.33,0.6,0.0,0.0,1,2,0,0,False,14,True,False,Slovakia,1
upat.sk,Gransy s.r.o.,4.0,3.0,None,79,85,248,216,117,1,0,0,0,0,0,5578,200,None,2.81,0.29,0.57,0.0,0.0,1,2,0,0,False,6,False,False,Slovakia,1
aviabratislava.sk,NETIM,4.0,3.0,Let's Encrypt,58,196,196,53,221,1,0,0,0,0,0,41564,403,Apache/2,3.05,0.41,0.53,0.0,0.0,2,2,0,0,False,16,True,False,Latvia,1
calvinkleinslovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,74,196,196,242,79,1,0,0,0,0,0,57858,200,Apache,3.35,0.3,0.65,0.0,0.0,2,3,0,0,False,22,True,False,Sweden,1
bapetenisky.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,62,196,245,56,103,1,0,0,0,0,0,58065,200,Apache,3.38,0.36,0.57,0.0,0.0,1,2,0,0,False,13,True,False,Spain,1
jelsava.sk,"WEBY GROUP, s.r.o.",4.0,1.0,Let's Encrypt,44,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
stopbyrokracii.sk,Národná agentúra pre sieťové a elektronické služby,4.0,3.0,Sectigo Limited,125,37,9,175,188,1,1,1,1,0,0,51013,200,openresty,3.5,0.35,0.59,0.0,0.0,2,2,0,0,False,16,False,False,Slovakia,0
stussy.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,68,165,231,64,38,1,0,0,0,0,0,48950,200,Apache,2.28,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Germany,1
vejastore.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,36,104,21,38,220,2,0,0,0,0,0,13335,403,cloudflare,3.25,0.33,0.58,0.0,0.0,1,2,0,0,False,11,True,False,Canada,1
arcteryxsk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,58,104,21,32,1,7,0,0,0,0,0,13335,200,cloudflare,3.24,0.23,0.69,0.0,0.0,1,3,0,0,False,12,False,True,Canada,1
hushpuppiesoutlet.sk,NETIM,4.0,3.0,Let's Encrypt,60,196,196,53,223,1,0,0,0,0,0,41564,403,Apache/2,3.31,0.35,0.6,0.0,0.0,2,3,0,0,False,19,True,False,Latvia,1
ryderwear.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,41,165,231,64,31,1,0,0,0,0,0,48950,200,Apache,3.02,0.33,0.58,0.0,0.0,2,2,0,0,False,11,False,False,Germany,1
intimissimieshop.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,85,165,231,64,4,1,0,0,0,0,0,48950,200,Apache,3.11,0.37,0.58,0.0,0.0,2,2,0,0,False,18,True,False,Germany,1
lornajane-slovensko.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,39,104,21,77,137,2,0,0,0,0,0,13335,200,cloudflare,3.45,0.32,0.59,0.0,0.05,1,3,0,1,False,21,True,False,Canada,1
skibuce.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,29,37,9,175,155,1,1,1,1,0,0,51013,200,openresty,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
vinarskydom.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,88,92,240,253,18,1,1,1,1,0,0,29405,406,None,3.52,0.29,0.64,0.0,0.0,1,3,0,0,False,13,False,False,Slovakia,0
mckvp.sk,ANTIK Telecom s.r.o.,4.0,1.0,None,0,88,212,10,20,1,1,1,1,0,0,42841,200,Apache,2.75,0.0,0.88,0.0,0.0,0,5,0,0,False,7,False,False,Slovakia,0
program-bsk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,78,77,78,104,3,1,1,1,1,0,1,15685,200,nginx,3.38,0.14,0.71,0.0,0.07,1,3,0,1,False,13,False,True,Czechia,1
krompachy.sk,VÁDIUM - IT s.r.o.,4.0,3.0,Let's Encrypt,36,212,57,34,210,1,1,1,1,1,1,48689,200,nginx,3.42,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Slovakia,0
basetooks.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,80,91,240,20,64,1,1,1,1,0,0,59939,200,nginx,2.86,0.33,0.58,0.0,0.0,2,2,0,0,False,11,False,False,The Netherlands,1
hoglslovensko.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,43,165,231,64,17,1,0,0,0,0,0,48950,200,Apache,3.16,0.25,0.69,0.0,0.0,1,4,0,0,False,15,True,False,Germany,1
magurahotel.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,83,195,181,248,21,1,1,1,1,1,1,48689,200,nginx,3.66,0.36,0.57,0.0,0.0,1,2,0,0,False,13,False,False,Slovakia,0
tonybiancobratislava.sk,NETIM,4.0,3.0,Let's Encrypt,75,196,240,54,149,1,1,1,1,0,0,41564,403,Apache/2,3.65,0.39,0.57,0.0,0.0,2,2,0,0,False,22,True,False,Latvia,1
tousslovensko.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,56,104,21,112,1,7,0,0,0,0,0,13335,200,cloudflare,3.08,0.31,0.62,0.0,0.0,2,3,0,0,False,15,True,False,Canada,1
evohomeshop.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,75,77,78,104,3,1,1,1,1,0,1,15685,200,Apache/2.4.25 (Debian),3.04,0.36,0.57,0.0,0.0,1,2,0,0,False,13,True,False,Czechia,1
kosice-autoskola.sk,"INTERNET CZ, a.s.",4.0,1.0,Let's Encrypt,86,185,129,138,50,1,0,0,1,0,0,24806,200,Apache,3.39,0.42,0.47,0.0,0.05,2,2,0,1,False,18,False,False,Czechia,0
alphaindustriesslovensko.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,51,172,67,167,184,2,0,0,0,0,0,13335,403,cloudflare,3.81,0.33,0.63,0.0,0.0,2,3,0,0,False,26,True,False,Canada,1
hotelcentrum.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,89,92,240,253,107,1,1,1,1,0,0,29405,200,None,3.64,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Slovakia,0
hoteldominika.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,84,37,9,175,156,1,1,1,1,0,0,51013,200,openresty,3.62,0.38,0.56,0.0,0.0,1,2,0,0,False,15,False,False,Slovakia,0
oddych.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,31,37,9,175,187,1,1,1,1,0,0,51013,200,openresty,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
nikejordansk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,52,165,231,91,93,1,0,0,0,0,0,58065,200,Apache,3.32,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,True,France,1
bytca.sk,"Slovanet, a. s.",4.0,3.0,Let's Encrypt,45,46,229,239,41,1,1,1,1,0,1,29405,200,nginx,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
sobrance.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,44,82,119,224,201,1,0,0,1,0,1,5578,200,Apache,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
skivitanova.sk,"DSI DATA, a. s.",4.0,2.0,Let's Encrypt,87,37,9,175,157,1,1,1,1,0,1,51013,200,openresty,3.09,0.36,0.57,0.0,0.0,1,2,0,0,False,13,False,False,Slovakia,0
etnies.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,59,196,196,202,4,1,0,0,0,0,0,58065,200,Apache,2.73,0.33,0.56,0.0,0.0,2,2,0,0,False,8,False,False,Finland,1
eccooutlet.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,83,196,245,153,226,1,0,0,0,0,0,41564,200,Apache,3.09,0.38,0.54,0.0,0.0,3,2,0,0,False,12,True,False,Slovakia,1
azet.sk,Ringier Slovakia Media s.r.o.,4.0,3.0,Sectigo Limited,14,91,235,52,77,1,1,1,1,0,1,57788,200,None,2.81,0.29,0.57,0.0,0.0,1,2,0,0,False,6,False,False,Slovakia,0
adidascena.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,69,196,245,153,246,1,0,0,0,0,0,41564,200,Apache,3.03,0.38,0.54,0.0,0.0,1,2,0,0,False,12,False,False,Slovakia,1
polenesk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,79,104,21,16,1,7,0,0,0,0,0,13335,200,cloudflare,2.91,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,True,Canada,1
thenorthfaceslovensko.sk,Key-Systems GmbH,4.0,3.0,Let's Encrypt,71,196,196,38,20,1,0,0,0,0,0,58065,200,Apache,3.66,0.29,0.67,0.0,0.0,1,4,0,0,False,23,True,False,France,1
basetoools.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,1,91,240,20,63,1,1,1,1,0,0,59939,200,Apache/2,2.97,0.38,0.54,0.0,0.0,3,2,0,0,False,12,False,False,The Netherlands,1
360googlefoto.sk,Websupport s.r.o.,3.0,3.0,Let's Encrypt,83,37,9,175,133,1,1,1,1,0,0,51013,200,openresty,3.38,0.31,0.44,0.19,0.0,2,2,3,0,False,15,False,False,Slovakia,1
guesskabelky.sk,Key-Systems GmbH,4.0,2.0,ZeroSSL,41,165,231,253,42,1,0,0,0,0,0,41564,403,Apache/2,3.14,0.33,0.6,0.0,0.0,2,3,0,0,False,14,False,False,India,1
hotelmaraton.sk,"WEBY GROUP, s.r.o.",4.0,2.0,None,0,93,184,65,142,1,1,1,1,0,1,29405,200,nginx,3.51,0.33,0.6,0.0,0.0,1,2,0,0,False,14,False,False,Slovakia,0
dcshoesslovensko.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,79,165,231,190,74,1,0,0,0,0,0,58065,200,Apache,3.18,0.26,0.68,0.0,0.0,2,4,0,0,False,18,True,False,Estonia,1
coccinelleslovensko.sk,Gransy s.r.o.,4.0,3.0,Google Trust Services,69,104,21,64,1,7,0,0,0,0,0,13335,200,cloudflare,3.2,0.32,0.64,0.0,0.0,1,3,0,0,False,21,True,False,Canada,1
versacebratislava.sk,NETIM,4.0,3.0,ZeroSSL,80,196,240,45,198,1,0,0,0,0,0,41564,403,Apache/2,3.38,0.35,0.6,0.0,0.0,1,2,0,0,False,19,True,False,Poland,1
kremnica.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,76,82,119,224,201,1,1,1,1,0,1,5578,200,Apache,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
rightdeal.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,41,139,162,179,216,1,1,1,1,0,1,63949,200,Apache,3.58,0.25,0.67,0.0,0.0,2,4,0,0,False,11,False,False,Germany,1
